m_mchamp (GeV)	e_reco		xs (pb)			effLumi		expBG	eBGerr	obs	obsLim	expLim	expLo1	expHi1  expLo2  expHi2

100		0.000		+1.8800000000E+00	4151.58         724.46  12      724     61.7755 65.6305 44.4408 87.2459 33.316  119.045
200		0.001		+1.4020000000E-01	4151.58         724.46  12      724     61.7755 65.6305 44.4408 87.2459 33.316  119.045
300		0.004		+2.6220000000E-02	4151.58         724.46  12      724     61.7755 65.6305 44.4408 87.2459 33.316  119.045
400		0.008		+6.9680000000E-03	4151.58         724.46  12      724     61.7755 65.6305 44.4408 87.2459 33.316  119.045
500		0.010		+2.2570000000E-03	4151.58         724.46  12      724     61.7755 65.6305 44.4408 87.2459 33.316  119.045
600		0.012		+8.1830000000E-04	4151.58         724.46  12      724     61.7755 65.6305 44.4408 87.2459 33.316  119.045
700		0.012		+3.2280000000E-04	4151.58         724.46  12      724     61.7755 65.6305 44.4408 87.2459 33.316  119.045
800		0.014		+1.3330000000E-04	4151.58         724.46  12      724     61.7755 65.6305 44.4408 87.2459 33.316  119.045
900		0.014		+5.7640000000E-05	4151.58         724.46  12      724     61.7755 65.6305 44.4408 87.2459 33.316  119.045
1000		0.014		+2.5400000000E-05	4151.58         724.46  12      724     61.7755 65.6305 44.4408 87.2459 33.316  119.045

