m_mchamp (GeV)	e_reco		xs (pb)			effLumi		expBG	eBGerr	obs	obsLim	expLim	expLo1	expHi1  expLo2  expHi2

100		0.002		+1.8800000000E+00	4151.58         2571.55 50.0001 2572    147.588 156.652 106.889 206.865 89.7767 281.532
200		0.011		+1.4020000000E-01	4151.58         2571.55 50.0001 2572    147.588 156.652 106.889 206.865 89.7767 281.532
300		0.012		+2.6220000000E-02	4151.58         2571.55 50.0001 2572    147.588 156.652 106.889 206.865 89.7767 281.532
400		0.012		+6.9680000000E-03	4151.58         2571.55 50.0001 2572    147.588 156.652 106.889 206.865 89.7767 281.532
500		0.012		+2.2570000000E-03	4151.58         2571.55 50.0001 2572    147.588 156.652 106.889 206.865 89.7767 281.532
600		0.013		+8.1830000000E-04	4151.58         2571.55 50.0001 2572    147.588 156.652 106.889 206.865 89.7767 281.532
700		0.013		+3.2280000000E-04	4151.58         2571.55 50.0001 2572    147.588 156.652 106.889 206.865 89.7767 281.532
800		0.014		+1.3330000000E-04	4151.58         2571.55 50.0001 2572    147.588 156.652 106.889 206.865 89.7767 281.532
900		0.015		+5.7640000000E-05	4151.58         2571.55 50.0001 2572    147.588 156.652 106.889 206.865 89.7767 281.532
1000		0.015		+2.5400000000E-05	4151.58         2571.55 50.0001 2572    147.588 156.652 106.889 206.865 89.7767 281.532

