m_mchamp (GeV)	e_reco		xs (pb)			effLumi		expBG	eBGerr	obs	obsLim	expLim	expLo1	expHi1  expLo2  expHi2

100		0.000		+1.8800000000E+00	4151.58         1293.24 22      1293    87.8831 93.1825 63.278  123.642 48.4349 168.552
200		0.004		+1.4020000000E-01	4151.58         1293.24 22      1293    87.8831 93.1825 63.278  123.642 48.4349 168.552
300		0.009		+2.6220000000E-02	4151.58         1293.24 22      1293    87.8831 93.1825 63.278  123.642 48.4349 168.552
400		0.011		+6.9680000000E-03	4151.58         1293.24 22      1293    87.8831 93.1825 63.278  123.642 48.4349 168.552
500		0.012		+2.2570000000E-03	4151.58         1293.24 22      1293    87.8831 93.1825 63.278  123.642 48.4349 168.552
600		0.013		+8.1830000000E-04	4151.58         1293.24 22      1293    87.8831 93.1825 63.278  123.642 48.4349 168.552
700		0.013		+3.2280000000E-04	4151.58         1293.24 22      1293    87.8831 93.1825 63.278  123.642 48.4349 168.552
800		0.014		+1.3330000000E-04	4151.58         1293.24 22      1293    87.8831 93.1825 63.278  123.642 48.4349 168.552
900		0.015		+5.7640000000E-05	4151.58         1293.24 22      1293    87.8831 93.1825 63.278  123.642 48.4349 168.552
1000		0.015		+2.5400000000E-05	4151.58         1293.24 22      1293    87.8831 93.1825 63.278  123.642 48.4349 168.552

