m_gluino (GeV)	m_chi0	e_reco		xs (pb)

300		173	0.0038		106
400		283	0.0038		19
500		387	0.0038		4.5
600		490	0.0038		1.3
700		592	0.0038		0.43
800		693	0.0038		0.16
900		794	0.0038		0.060
1000		894	0.0038		0.024
1100		995	0.0038		0.010
1200		1095	0.0038		0.0044
1300		1196	0.0038		0.0019
1400		1296	0.0038		0.00087
1500		1396	0.0038		0.00039

