m_mchamp (GeV)	e_reco		xs (pb)			effLumi		expBG	eBGerr	obs	obsLim	expLim	expLo1	expHi1  expLo2  expHi2

100		0.000		+1.8800000000E+00	4151.58         480.408 8.00001 480     49.2645 52.346  35.4023 69.6336 26.4133 95.0717
200		0.000		+1.4020000000E-01	4151.58         480.408 8.00001 480     49.2645 52.346  35.4023 69.6336 26.4133 95.0717
300		0.002		+2.6220000000E-02	4151.58         480.408 8.00001 480     49.2645 52.346  35.4023 69.6336 26.4133 95.0717
400		0.004		+6.9680000000E-03	4151.58         480.408 8.00001 480     49.2645 52.346  35.4023 69.6336 26.4133 95.0717
500		0.007		+2.2570000000E-03	4151.58         480.408 8.00001 480     49.2645 52.346  35.4023 69.6336 26.4133 95.0717
600		0.009		+8.1830000000E-04	4151.58         480.408 8.00001 480     49.2645 52.346  35.4023 69.6336 26.4133 95.0717
700		0.011		+3.2280000000E-04	4151.58         480.408 8.00001 480     49.2645 52.346  35.4023 69.6336 26.4133 95.0717
800		0.012		+1.3330000000E-04	4151.58         480.408 8.00001 480     49.2645 52.346  35.4023 69.6336 26.4133 95.0717
900		0.013		+5.7640000000E-05	4151.58         480.408 8.00001 480     49.2645 52.346  35.4023 69.6336 26.4133 95.0717
1000		0.013		+2.5400000000E-05	4151.58         480.408 8.00001 480     49.2645 52.346  35.4023 69.6336 26.4133 95.0717

